MIT OR Apache-2.0	186
MIT	49
Apache-2.0 OR MIT	29
MIT/Apache-2.0	18
Unicode-3.0	18
Apache-2.0	8
Unlicense OR MIT	8
Apache-2.0 OR ISC OR MIT	5
Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	5
Apache-2.0/MIT	3
ISC	3
Apache-2.0 OR BSL-1.0 OR MIT	2
BSD-2-Clause OR Apache-2.0 OR MIT	2
CDLA-Permissive-2.0	2
MIT OR Apache-2.0 OR LGPL-2.1-or-later	2
Unlicense/MIT	2
Zlib	2
(Apache-2.0 OR MIT) AND BSD-3-Clause	1
(MIT OR Apache-2.0) AND Unicode-3.0	1
0BSD OR MIT OR Apache-2.0	1
Apache-2.0 / MIT	1
Apache-2.0 AND ISC	1
Apache-2.0 OR BSL-1.0	1
BSD-3-Clause	1
CC0-1.0	1
MIT OR Apache-2.0 OR Zlib	1
MIT OR Zlib OR Apache-2.0	1
MPL-2.0	1
Zlib OR Apache-2.0 OR MIT	1
