MIT OR Apache-2.0	323
MIT	175
Apache-2.0 OR MIT	64
MIT/Apache-2.0	44
Unicode-3.0	18
Zlib OR Apache-2.0 OR MIT	11
Apache-2.0	10
Unlicense OR MIT	10
MPL-2.0	8
Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	6
Apache-2.0/MIT	6
Apache-2.0 OR ISC OR MIT	5
ISC	4
MIT OR Apache-2.0 OR Zlib	4
Unlicense/MIT	4
BSD-3-Clause	3
Zlib	3
Apache-2.0 OR BSL-1.0 OR MIT	2
BSD-2-Clause OR Apache-2.0 OR MIT	2
BSD-3-Clause OR Apache-2.0	2
BSD-3-Clause OR MIT OR Apache-2.0	2
CDLA-Permissive-2.0	2
MIT OR Apache-2.0 OR LGPL-2.1-or-later	2
(Apache-2.0 OR MIT) AND BSD-3-Clause	1
(MIT OR Apache-2.0) AND Unicode-3.0	1
0BSD OR MIT OR Apache-2.0	1
Apache-2.0 / MIT	1
Apache-2.0 AND ISC	1
Apache-2.0 AND MIT	1
Apache-2.0 OR BSL-1.0	1
Apache-2.0 WITH LLVM-exception	1
BSD-3-Clause AND MIT	1
BSD-3-Clause/MIT	1
CC0-1.0	1
CC0-1.0 OR MIT-0 OR Apache-2.0	1
MIT / Apache-2.0	1
MIT OR Zlib OR Apache-2.0	1
